dataset,model,seed,test_hr,test_ndcg,test_auc,val_hr,val_ndcg,val_auc,epochs,val_epoch
support_groups_full_164_loo,mf_pl,42,0.066300,0.043000,0.493400,0.042200,0.020500,0.492800,20.000000,2.000000
support_groups_full_164_loo,mf_pl,52,0.024100,0.012200,0.458500,0.048200,0.022700,0.508800,20.000000,1.000000
support_groups_full_164_loo,mf_pl,62,0.072300,0.048200,0.482700,0.048200,0.030300,0.524300,20.000000,4.000000
support_groups_full_164_loo,mf_pl,122,0.036100,0.023000,0.465500,0.066300,0.043500,0.496200,20.000000,4.000000
support_groups_full_164_loo,mf_pl,232,0.072300,0.039600,0.483100,0.048200,0.022400,0.486200,20.000000,1.000000
support_groups_full_164_loo,mlp_baseline,42,0.036100,0.019900,0.474400,0.018100,0.009100,0.433200,20.000000,1.000000
support_groups_full_164_loo,mlp_baseline,52,0.042200,0.024600,0.463800,0.018100,0.009100,0.443500,20.000000,1.000000
support_groups_full_164_loo,mlp_baseline,62,0.012000,0.004900,0.437200,0.018100,0.013600,0.438100,20.000000,1.000000
support_groups_full_164_loo,mlp_baseline,122,0.006000,0.002600,0.448300,0.024100,0.016200,0.420800,20.000000,1.000000
support_groups_full_164_loo,mlp_baseline,232,0.036100,0.018600,0.485100,0.036100,0.022600,0.428200,20.000000,1.000000
support_groups_full_164_loo,mlp_pl,42,0.060200,0.030600,0.494100,0.048200,0.026100,0.495600,20.000000,1.000000
support_groups_full_164_loo,mlp_pl,52,0.072300,0.043400,0.491900,0.030100,0.020200,0.471500,20.000000,1.000000
support_groups_full_164_loo,mlp_pl,62,0.030100,0.018200,0.465600,0.060200,0.034400,0.490100,20.000000,1.000000
support_groups_full_164_loo,mlp_pl,122,0.066300,0.037500,0.514200,0.048200,0.028700,0.487100,20.000000,1.000000
support_groups_full_164_loo,mlp_pl,232,0.036100,0.018900,0.455800,0.048200,0.028100,0.442600,20.000000,3.000000
support_groups_full_164_loo,neumf_baseline,42,0.030100,0.016300,0.421300,0.018100,0.014400,0.419200,20.000000,2.000000
support_groups_full_164_loo,neumf_baseline,52,0.042200,0.023000,0.459200,0.048200,0.029400,0.495200,20.000000,1.000000
support_groups_full_164_loo,neumf_baseline,62,0.048200,0.025400,0.419500,0.030100,0.024200,0.490500,20.000000,1.000000
support_groups_full_164_loo,neumf_baseline,122,0.048200,0.029700,0.497800,0.042200,0.030300,0.491800,20.000000,1.000000
support_groups_full_164_loo,neumf_baseline,232,0.054200,0.030600,0.475700,0.042200,0.028100,0.500300,20.000000,1.000000
support_groups_full_164_loo,neumf_pl,42,0.042200,0.026900,0.469100,0.042200,0.025800,0.512000,20.000000,1.000000
